% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 55.70 s, time offset 27.85 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2022-09-09 T 13:04:18 -0400
% Time (s), Channel A (V), Channel B (V)
7.7468925600e-01, 1.6856922321e-04, 1.9890655302e+00
7.7810198400e-01, 7.0359327947e-04, 1.9873871670e+00
7.8151471200e-01, 1.6490467488e-03, 1.9870133831e+00
7.8492744000e-01, 3.6645483306e-05, 1.9863464353e+00
7.8834016800e-01, -3.0049296311e-04, 1.9884498860e+00
7.9175289600e-01, -4.1775850968e-04, 1.9885158479e+00
7.9516562400e-01, 9.0880798598e-04, 1.9879368493e+00
7.9857835200e-01, 3.4446754307e-04, 1.9875630653e+00
8.0199108000e-01, 4.3241670301e-04, 1.9865882955e+00
8.0540380800e-01, 6.3030231286e-04, 1.9899376927e+00
8.0881653600e-01, -2.0521470651e-04, 1.9891827957e+00
8.1222926400e-01, -3.6645483306e-04, 1.9876803309e+00
8.1564199200e-01, 4.1775850968e-04, 1.9871453068e+00
8.1905472000e-01, 3.4446754307e-04, 1.9867715229e+00
8.2246744800e-01, -5.7166953957e-04, 1.9892267703e+00
8.2588017600e-01, -1.2752628190e-03, 1.9889482646e+00
8.2929290400e-01, -2.7117657646e-04, 1.9890508720e+00
8.3270563200e-01, -2.5651838314e-04, 1.9871379777e+00
8.3611836000e-01, -5.1303676628e-05, 1.9874311416e+00
8.3953108800e-01, -1.0627190159e-03, 1.9911763100e+00
8.4294381600e-01, -1.1140226925e-03, 1.9883179623e+00
8.4635654400e-01, 1.8322741653e-04, 1.9873798379e+00
8.4976927200e-01, 7.4023876277e-04, 1.9866395992e+00
8.5318200000e-01, 5.1303676628e-04, 1.9863757517e+00
8.5659472800e-01, 8.7949159933e-05, 1.9885011897e+00
8.6000745600e-01, -1.0260735326e-04, 1.9870866741e+00
8.6342018400e-01, 8.7949159933e-04, 1.9871453068e+00
8.6683291200e-01, 5.5701134625e-04, 1.9852543999e+00
8.7024564000e-01, -7.6955514942e-04, 1.9870793450e+00
8.7365836800e-01, -8.7949159933e-04, 1.9892927321e+00
8.7707109600e-01, -8.7216250267e-04, 1.9872112687e+00
8.8048382400e-01, 6.8160598948e-04, 1.9869181048e+00
8.8389655200e-01, -3.0782205977e-04, 1.9852030962e+00
8.8730928000e-01, -5.0570766962e-04, 1.9865956246e+00
8.9072200800e-01, -7.3290966611e-06, 1.9887210626e+00
8.9413473600e-01, 1.2459464324e-04, 1.9869840667e+00
8.9754746400e-01, -1.4658193322e-05, 1.9872259269e+00
9.0096019200e-01, 2.0521470651e-04, 1.9860166259e+00
9.0437292000e-01, -1.0553899192e-03, 1.9876216981e+00
9.0778564800e-01, -6.8893508615e-04, 1.9887577081e+00
9.1119837600e-01, 4.4707489633e-04, 1.9877975964e+00
9.1461110400e-01, 5.9365682955e-04, 1.9871379777e+00
9.1802383200e-01, -2.6384747980e-04, 1.9853130327e+00
9.2143656000e-01, 1.5391102988e-04, 1.9876436854e+00
9.2484928800e-01, 1.6124012654e-04, 1.9889482646e+00
9.2826201600e-01, 2.9316386644e-04, 1.9865589791e+00
9.3167474400e-01, 6.8160598948e-04, 1.9867128901e+00
9.3508747200e-01, 1.8322741653e-04, 1.9853276909e+00
9.3850020000e-01, -1.2899210124e-03, 1.9893733522e+00
9.4191292800e-01, -6.9626418281e-04, 1.9886477716e+00
9.4532565600e-01, 1.8322741653e-04, 1.9870646868e+00
9.4873838400e-01, 9.6744075927e-04, 1.9865443209e+00
9.5215111200e-01, 6.0098592621e-04, 1.9855988674e+00
9.5556384000e-01, -1.5391102988e-04, 1.9883106332e+00
9.5897656800e-01, -5.3502405626e-04, 1.9879075329e+00
9.6238929600e-01, 4.8372037963e-04, 1.9870940032e+00
9.6580202400e-01, 7.4756785943e-04, 1.9865443209e+00
9.6921475200e-01, -5.5701134625e-04, 1.9860679296e+00
9.7262748000e-01, -9.0147888932e-04, 1.9891608084e+00
9.7604020800e-01, -7.1825147279e-04, 1.9880174693e+00
9.7945293600e-01, -4.0310031636e-04, 1.9876363563e+00
9.8286566400e-01, 8.7216250267e-04, 1.9870207122e+00
9.8627839200e-01, 5.6434044291e-04, 1.9870426995e+00
9.8969112000e-01, -7.4023876277e-04, 1.9897764525e+00
9.9310384800e-01, -3.8111302638e-04, 1.9872625724e+00
9.9651657600e-01, 1.4438320422e-03, 1.9873871670e+00
9.9992930400e-01, 1.3925283656e-03, 1.9853570072e+00
1.0033420320e+00, 1.0700481125e-03, 1.9871306486e+00
1.0067547600e+00, -3.6645483306e-05, 1.9895932251e+00
1.0101674880e+00, 5.7899863623e-04, 1.9882080258e+00
1.0135802160e+00, 1.6563758454e-03, 1.9883472787e+00
1.0169929440e+00, 1.7589831987e-03, 1.9871599650e+00
1.0204056720e+00, 1.4658193322e-05, 1.9884498860e+00
1.0238184000e+00, -2.5651838314e-04, 1.9899010472e+00
1.0272311280e+00, 2.9316386644e-04, 1.9887870245e+00
1.0306438560e+00, 6.8893508615e-04, 1.9883985824e+00
1.0340565840e+00, 9.6744075927e-04, 1.9867422065e+00
